"API Login ID","API Login ID"
"Accepted Currency","Moeda Aceita"
"Authorize Only","Apenas Autorizar"
"Authorize and Capture","Capturar e Autorizar"
"Authorize.net","Authorize.net"
"Credit Card Types","Tipos de Cartão de Crédito"
"Credit Card Verification","Verificação de Cartão de Crédito"
"Debug","Debug"
"Email Customer","Email Cliente"
"Enabled","Habilitar"
"Error in capturing the payment.","Erro ao capturar pagamento."
"Error in payment gateway.","Erro no gateway de pagamento."
"Error in refunding the payment.","Erro ao reembolsar pagamento."
"Gateway error: %s","Erro no Gateway: %s"
"Invalid amount for authorization.","Total inválido para autorização."
"Invalid transaction ID.","ID da Transação inválida."
"Maximum Order Total","Valor Máximo do Pedido"
"Merchant's Email","Email Vendedor"
"Minimum Order Total","Valor Mínimo do Pedido"
"New Order Status","Novo Status do Pedido"
"Payment Action","Ação de Pagamento"
"Payment authorization error.","Erro ao autorizar pagamento."
"Payment authorization transaction has been declined.","A transação de pagamento autorizada não foi aceita."
"Payment from Applicable Countries","Pagamento Permitido p/ Países"
"Payment from Specific Countries","Pagamento Específico p/ Países"
"Sort Order","Ordem"
"Test Mode","Modo Teste"
"Title","Título"
"Transaction Key","Chave de Transação"
